Task,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%
Global_Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,613.0944,613.0093,-0.0139,178.8387,176.7885,-1.1464,109645.0000,108373.0000,-1.1601
couchdb_test,120.0000,116.0000,-3.3333,19.8791,20.5667,3.4589,12.2793,21.8602,78.0246,3.5042,4.6755,33.4259,0.1763,0.2273,28.9651,14.7874,17.1324,15.8585,34.2498,41.6699,21.6646,1.6486,0.9556,-42.0397,21.0095,24.4429,16.3424,28.8354,30.2872,5.0348,,,,,,,,,
disk,4902.0000,4634.0000,-5.4672,0.3261,0.3715,13.9269,0.0170,0.0265,55.5763,0.1305,0.1628,24.7302,0.4002,0.4382,9.4827,0.2178,0.2197,0.8955,1.7578,1.7724,0.8312,0.0758,0.0749,-1.2397,0.3833,0.4151,8.3002,0.4162,0.4773,14.6692,,,,,,,,,
float_operation,3615.0000,3207.0000,-11.2863,0.4954,0.5925,19.6064,0.0040,0.0148,271.6606,0.0631,0.1216,92.7850,0.1274,0.2053,61.1829,0.3575,0.3340,-6.5846,0.8499,0.9412,10.7482,0.0796,0.2079,161.1862,0.5839,0.7772,33.1017,0.6102,0.8003,31.1686,,,,,,,,,
image,161.0000,141.0000,-12.4224,14.9059,17.0690,14.5116,2.9505,7.4208,151.5134,1.7177,2.7241,58.5917,0.1152,0.1596,38.4941,13.2808,14.6633,10.4093,22.8095,29.2414,28.1985,1.6494,1.0228,-37.9936,16.0210,19.4442,21.3668,18.8760,24.1901,28.1531,,,,,,,,,
k-means,7943.0000,7359.0000,-7.3524,0.1337,0.1702,27.2760,0.0096,0.0119,24.4932,0.0978,0.1091,11.5765,0.7313,0.6411,-12.3350,0.0327,0.0332,1.7272,4.2514,4.8340,13.7057,0.0720,0.0621,-13.7882,0.1943,0.2150,10.6731,0.2047,0.2270,10.9217,,,,,,,,,
linpack,10194.0000,9846.0000,-3.4138,0.0732,0.0936,27.8778,0.0010,0.0016,61.1964,0.0313,0.0397,26.9631,0.4273,0.4242,-0.7153,0.0251,0.0246,-2.1722,0.5037,0.5150,2.2592,0.0508,0.0486,-4.2275,0.1081,0.1473,36.2436,0.1147,0.1679,46.4317,,,,,,,,,
map_reduce,14152.0000,15387.0000,8.7267,0.0129,0.0137,6.8514,0.0000,0.0001,74.0971,0.0060,0.0079,31.9459,0.4639,0.5728,23.4854,0.0092,0.0091,-1.3351,0.0893,0.0861,-3.6127,0.0034,0.0036,4.1726,0.0163,0.0177,8.8576,0.0201,0.0237,18.1448,,,,,,,,,
markdown2html,12346.0000,12883.0000,4.3496,0.0333,0.0382,14.7903,0.0012,0.0013,7.2449,0.0350,0.0363,3.5591,1.0538,0.9507,-9.7841,0.0149,0.0149,0.2327,1.3595,1.4196,4.4256,0.0258,0.0383,48.6101,0.0838,0.0869,3.7773,0.0955,0.0977,2.2870,,,,,,,,,
matmul,5300.0000,5506.0000,3.8868,0.2809,0.2774,-1.2543,0.0035,0.0035,-0.3157,0.0593,0.0592,-0.1580,0.2112,0.2135,1.1103,0.1174,0.1174,-0.0120,0.6730,0.7044,4.6718,0.0651,0.0631,-3.1073,0.3742,0.3700,-1.1378,0.3901,0.3911,0.2331,,,,,,,,,
network,9623.0000,9930.0000,3.1903,0.0867,0.0924,6.5200,0.0065,0.0096,47.4231,0.0809,0.0982,21.4179,0.9326,1.0630,13.9860,0.0333,0.0334,0.1510,1.4847,1.4289,-3.7612,0.0620,0.0672,8.3475,0.1382,0.1445,4.5813,0.1783,0.1894,6.2613,,,,,,,,,
recognizer_adult,180.0000,188.0000,4.4444,13.2269,12.6503,-4.3592,8.3823,8.6025,2.6264,2.8952,2.9330,1.3047,0.2189,0.2319,5.9221,8.9175,9.3986,5.3951,26.2729,30.3109,15.3696,4.3528,2.1401,-50.8342,16.4918,15.8616,-3.8212,16.9997,16.7453,-1.4965,,,,,,,,,
recognizer_censor,11148.0000,11198.0000,0.4485,0.0054,0.0052,-2.8096,0.0001,0.0001,-12.0384,0.0115,0.0108,-6.2121,2.1463,2.0712,-3.5009,0.0018,0.0017,-4.0748,0.1145,0.1072,-6.4064,0.0014,0.0015,12.1679,0.0049,0.0052,4.6409,0.0059,0.0067,14.6396,,,,,,,,,
recognizer_extract,630.0000,593.0000,-5.8730,3.6027,3.8320,6.3636,0.4361,0.4976,14.0933,0.6604,0.7054,6.8145,0.1833,0.1841,0.4239,2.0552,2.4151,17.5134,8.1983,7.3579,-10.2518,0.3399,0.3118,-8.2537,3.8914,4.1634,6.9911,4.2421,5.3394,25.8664,,,,,,,,,
recognizer_mosaic,1260.0000,1176.0000,-6.6667,1.6870,1.8208,7.9324,0.3086,0.3387,9.7474,0.5555,0.5819,4.7604,0.3293,0.3196,-2.9389,1.0643,0.8974,-15.6824,6.3895,5.7112,-10.6160,0.3024,0.2897,-4.2105,1.9560,2.0645,5.5466,2.1705,2.8006,29.0250,,,,,,,,,
recognizer_translate,7301.0000,7303.0000,0.0274,0.1086,0.1085,-0.0486,0.0001,0.0002,27.0687,0.0113,0.0127,12.7247,0.1041,0.1174,12.7796,0.1059,0.1058,-0.0889,0.6903,0.6952,0.7045,0.0020,0.0022,15.3465,0.1101,0.1114,1.1688,0.1118,0.1136,1.6318,,,,,,,,,
recognizer_upload,1083.0000,1012.0000,-6.5559,2.0007,2.1608,8.0004,0.4794,0.6181,28.9371,0.6924,0.7862,13.5505,0.3461,0.3639,5.1389,0.0291,0.0377,29.3907,7.4639,7.5105,0.6247,0.3513,0.3449,-1.8362,2.3310,2.5046,7.4476,2.6122,3.3987,30.1105,,,,,,,,,
recognizer_violence,186.0000,180.0000,-3.2258,12.7631,13.2219,3.5946,8.7461,12.8128,46.4976,2.9574,3.5795,21.0362,0.2317,0.2707,16.8364,9.0084,8.6921,-3.5110,29.1003,33.8380,16.2804,4.5148,4.7430,5.0544,15.8834,16.8144,5.8616,16.6643,17.6555,5.9484,,,,,,,,,
