Task,Type,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,attempts_Base,attempts_Exp,attempts_Change%,success_Base,success_Exp,success_Change%,failed_Base,failed_Exp,failed_Change%,failure_rate_Base,failure_rate_Exp,failure_rate_Change%,http_fail_Base,http_fail_Exp,http_fail_Change%,logic_fail_Base,logic_fail_Exp,logic_fail_Change%,timeout_fail_Base,timeout_fail_Exp,timeout_fail_Change%,exception_fail_Base,exception_fail_Exp,exception_fail_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%,attempted_requests_Base,attempted_requests_Exp,attempted_requests_Change%,successful_requests_Base,successful_requests_Exp,successful_requests_Change%,failed_requests_Base,failed_requests_Exp,failed_requests_Change%,attempt_throughput_Base,attempt_throughput_Exp,attempt_throughput_Change%,success_throughput_Base,success_throughput_Exp,success_throughput_Change%,failed_breakdown.http_fail_Base,failed_breakdown.http_fail_Exp,failed_breakdown.http_fail_Change%,failed_breakdown.logic_fail_Base,failed_breakdown.logic_fail_Exp,failed_breakdown.logic_fail_Change%,failed_breakdown.timeout_fail_Base,failed_breakdown.timeout_fail_Exp,failed_breakdown.timeout_fail_Change%,failed_breakdown.exception_fail_Base,failed_breakdown.exception_fail_Exp,failed_breakdown.exception_fail_Change%
Global_Summary,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,611.0922,617.9906,1.1289,171.2720,171.9185,0.3774,104663.0000,106244.0000,1.5106,104663.0000,106244.0000,1.5106,104663.0000,106244.0000,1.5106,0.0000,0.0000,0.0000,171.2720,171.9185,0.3774,171.2720,171.9185,0.3774,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
couchdb_test,Task,116.0000,120.0000,3.4483,20.5449,19.9080,-3.0999,16.3019,15.3845,-5.6273,4.0376,3.9223,-2.8544,0.1965,0.1970,0.2534,14.7905,5.3631,-63.7397,34.7866,35.2262,1.2636,1.3824,1.3343,-3.4783,26.5563,21.5237,-18.9509,31.0305,26.7301,-13.8588,116.0000,120.0000,3.4483,116.0000,120.0000,3.4483,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk,Task,4753.0000,4471.0000,-5.9331,0.3329,0.3752,12.7140,0.0216,0.0104,-51.7007,0.1469,0.1021,-30.5023,0.4411,0.2720,-38.3416,0.2194,0.2193,-0.0477,1.8483,1.5811,-14.4566,0.0771,0.0653,-15.3146,0.3944,0.4391,11.3234,0.4664,0.4744,1.7096,4753.0000,4471.0000,-5.9331,4753.0000,4471.0000,-5.9331,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_operation,Task,3465.0000,3202.0000,-7.5902,0.5152,0.5776,12.1245,0.0088,0.0145,65.8085,0.0936,0.1205,28.7667,0.1817,0.2087,14.8426,0.3527,0.3981,12.8923,0.8913,0.8861,-0.5873,0.0722,0.2120,193.5010,0.6793,0.7640,12.4711,0.7238,0.7920,9.4161,3465.0000,3202.0000,-7.5902,3465.0000,3202.0000,-7.5902,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image,Task,160.0000,153.0000,-4.3750,14.9658,15.6643,4.6678,4.6201,5.5032,19.1130,2.1495,2.3459,9.1389,0.1436,0.1498,4.2717,12.8510,11.8381,-7.8822,23.8326,23.7216,-0.4659,2.2757,4.3045,89.1508,17.3146,18.3703,6.0968,19.4019,18.8991,-2.5914,160.0000,153.0000,-4.3750,160.0000,153.0000,-4.3750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k-means,Task,7951.0000,7236.0000,-8.9926,0.1251,0.1597,27.7019,0.0085,0.0123,43.8753,0.0924,0.1108,19.9480,0.7385,0.6937,-6.0718,0.0325,0.0325,0.0205,3.7456,4.8808,30.3076,0.0728,0.0627,-13.8452,0.1865,0.2124,13.8578,0.1959,0.2217,13.1765,7951.0000,7236.0000,-8.9926,7951.0000,7236.0000,-8.9926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linpack,Task,9704.0000,9781.0000,0.7935,0.0758,0.0776,2.3878,0.0011,0.0010,-5.7244,0.0333,0.0324,-2.9044,0.4396,0.4169,-5.1687,0.0251,0.0249,-0.6505,0.5075,0.5747,13.2400,0.0519,0.0496,-4.5407,0.1120,0.1125,0.4523,0.1213,0.1250,3.1092,9704.0000,9781.0000,0.7935,9704.0000,9781.0000,0.7935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map_reduce,Task,13427.0000,13781.0000,2.6365,0.0123,0.0126,2.9850,0.0000,0.0000,-13.2581,0.0059,0.0055,-6.8646,0.4851,0.4387,-9.5641,0.0092,0.0091,-1.4433,0.0880,0.0934,6.1173,0.0017,0.0031,81.4299,0.0149,0.0152,2.2320,0.0186,0.0184,-1.1093,13427.0000,13781.0000,2.6365,13427.0000,13781.0000,2.6365,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markdown2html,Task,12251.0000,11998.0000,-2.0651,0.0257,0.0344,33.9240,0.0007,0.0011,70.5798,0.0258,0.0337,30.6062,1.0033,0.9784,-2.4774,0.0148,0.0148,0.4794,1.0069,1.3281,31.8951,0.0045,0.0305,577.3857,0.0564,0.0806,42.8531,0.0698,0.0933,33.6320,12251.0000,11998.0000,-2.0651,12251.0000,11998.0000,-2.0651,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul,Task,4861.0000,5375.0000,10.5740,0.3133,0.2706,-13.6237,0.0041,0.0028,-32.8840,0.0642,0.0526,-18.0756,0.2048,0.1942,-5.1541,0.1190,0.1176,-1.1054,0.7627,0.7051,-7.5523,0.1010,0.0604,-40.2473,0.3903,0.3393,-13.0748,0.3977,0.3729,-6.2328,4861.0000,5375.0000,10.5740,4861.0000,5375.0000,10.5740,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network,Task,8879.0000,9603.0000,8.1541,0.0970,0.0856,-11.7528,0.0087,0.0048,-44.9051,0.0935,0.0694,-25.7741,0.9638,0.8106,-15.8886,0.0331,0.0335,1.3046,1.3257,1.3649,2.9608,0.0672,0.0682,1.4827,0.1555,0.1442,-7.2719,0.2082,0.1760,-15.4807,8879.0000,9603.0000,8.1541,8879.0000,9603.0000,8.1541,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_adult,Task,179.0000,177.0000,-1.1173,13.2580,13.4648,1.5599,9.6018,12.5509,30.7142,3.0987,3.5427,14.3303,0.2337,0.2631,12.5742,8.9346,7.6405,-14.4841,30.9663,33.1232,6.9654,4.1840,4.7010,12.3577,16.6454,16.9518,1.8409,17.6545,17.6872,0.1852,179.0000,177.0000,-1.1173,179.0000,177.0000,-1.1173,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_censor,Task,10254.0000,10953.0000,6.8169,0.0056,0.0051,-7.6454,0.0001,0.0001,-10.3483,0.0115,0.0108,-5.3154,2.0619,2.1139,2.5229,0.0017,0.0017,1.4294,0.1241,0.1075,-13.3615,0.0015,0.0014,-1.5567,0.0054,0.0050,-6.9101,0.0077,0.0061,-20.5041,10254.0000,10953.0000,6.8169,10254.0000,10953.0000,6.8169,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_extract,Task,604.0000,605.0000,0.1656,3.7461,3.7535,0.1984,0.6224,0.2413,-61.2332,0.7889,0.4912,-37.7370,0.2106,0.1309,-37.8603,2.2216,2.1339,-3.9511,8.4538,6.9732,-17.5142,0.4186,0.3641,-13.0136,4.1278,4.1138,-0.3399,5.3920,4.4226,-17.9781,604.0000,605.0000,0.1656,604.0000,605.0000,0.1656,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_mosaic,Task,1171.0000,1124.0000,-4.0137,1.8169,1.9132,5.2989,0.4527,0.1839,-59.3865,0.6728,0.4288,-36.2713,0.3703,0.2241,-39.4783,0.7584,1.1940,57.4409,6.7541,5.1072,-24.3846,0.3398,0.3090,-9.0745,2.0643,2.2051,6.8252,2.8108,2.4229,-13.7998,1171.0000,1124.0000,-4.0137,1171.0000,1124.0000,-4.0137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_translate,Task,6911.0000,7268.0000,5.1657,0.1088,0.1083,-0.4525,0.0001,0.0001,3.0638,0.0118,0.0120,1.5203,0.1088,0.1109,1.9818,0.1059,0.1058,-0.0610,0.6412,0.6992,9.0507,0.0022,0.0021,-1.4744,0.1111,0.1106,-0.4445,0.1126,0.1123,-0.2579,6911.0000,7268.0000,5.1657,6911.0000,7268.0000,5.1657,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_upload,Task,1043.0000,1045.0000,0.1918,2.0687,2.0797,0.5317,0.6366,0.2628,-58.7136,0.7979,0.5127,-35.7455,0.3857,0.2465,-36.0853,0.0436,0.2339,436.7676,8.1033,6.3622,-21.4869,0.3269,0.3637,11.2780,2.3966,2.4443,1.9904,3.3870,2.7527,-18.7270,1043.0000,1045.0000,0.1918,1043.0000,1045.0000,0.1918,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_violence,Task,186.0000,198.0000,6.4516,12.7511,12.0277,-5.6737,8.5063,7.0359,-17.2857,2.9166,2.6525,-9.0526,0.2287,0.2205,-3.5821,8.8338,8.1146,-8.1409,30.1022,27.9551,-7.1326,3.7739,1.8540,-50.8744,15.8745,15.8465,-0.1763,16.4821,16.5397,0.3495,186.0000,198.0000,6.4516,186.0000,198.0000,6.4516,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svd_compute,Task,1014.0000,973.0000,-4.0434,2.1354,2.2451,5.1392,0.4104,0.1800,-56.1293,0.6406,0.4243,-33.7651,0.3000,0.1890,-37.0026,1.1847,1.1448,-3.3691,6.4233,5.1725,-19.4741,0.2941,0.3242,10.2169,2.3720,2.5537,7.6601,3.5576,2.7516,-22.6564,1014.0000,973.0000,-4.0434,1014.0000,973.0000,-4.0434,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
