timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_1),CPU_66(group_1),CPU_4(group_2),CPU_68(group_2),CPU_6(group_3),CPU_70(group_3),CPU_8(group_4),CPU_72(group_4),CPU_10(group_5),CPU_74(group_5),CPU_12(group_6),CPU_76(group_6),CPU_14(group_7),CPU_78(group_7),CPU_16(group_8),CPU_80(group_8),CPU_18(group_9),CPU_82(group_9),CPU_20(group_10),CPU_84(group_10),CPU_22(group_11),CPU_86(group_11),CPU_24(group_12),CPU_88(group_12),CPU_26(group_13),CPU_90(group_13),CPU_28(group_14),CPU_92(group_14),CPU_30(group_15),CPU_94(group_15),CPU_32(group_16),CPU_96(group_16),CPU_34(group_17),CPU_98(group_17),CPU_36(group_18),CPU_100(group_18),CPU_38(group_19),CPU_102(group_19),CPU_40(group_20),CPU_104(group_20),CPU_42(group_21),CPU_106(group_21),CPU_44(group_22),CPU_108(group_22),CPU_46(group_23),CPU_110(group_23),CPU_48(group_24),CPU_112(group_24),CPU_50(group_25),CPU_114(group_25),CPU_52(group_26),CPU_116(group_26)
1772940055.8725135,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
1772940056.8751166,27.6,25.3,25.0,26.3,34.0,42.9,5.2,2.0,4.1,5.0,15.2,19.2,35.0,47.5,26.0,27.6,21.2,23.0,35.3,34.3,40.6,41.4,21.0,60.4,5.0,7.0,11.2,12.1,33.0,36.4,40.6,43.6,8.9,14.1,4.0,27.0,44.6,38.0,15.3,6.3,13.9,15.0,36.4,22.8,3.0,3.0,16.0,13.3,12.2,13.0,13.4,18.2,25.5,28.0
1772940057.878252,13.3,11.0,16.3,26.0,38.8,39.6,6.0,4.0,28.3,17.5,5.1,10.0,31.0,52.5,5.2,5.2,2.0,3.1,43.9,35.6,37.6,44.1,36.6,44.6,5.1,4.0,8.9,11.1,29.7,34.7,41.6,41.2,3.1,4.1,3.0,36.4,37.4,42.6,4.1,4.0,11.2,13.1,30.7,24.0,3.1,5.1,11.1,9.2,9.0,9.1,32.7,33.3,24.2,25.5
1772940058.8788667,13.4,9.1,16.2,22.4,50.5,21.8,6.1,1.0,4.0,3.0,6.1,6.1,34.0,46.0,34.7,28.3,20.2,23.2,32.3,39.4,38.6,37.6,41.2,41.0,6.1,3.1,8.1,9.1,31.6,31.3,40.6,40.6,5.1,6.1,3.1,14.3,40.6,40.0,3.0,3.1,32.0,29.0,26.3,25.3,2.0,4.0,9.1,10.9,7.1,6.1,8.2,11.0,21.2,24.0
1772940059.882044,12.2,10.0,22.0,17.2,37.8,36.0,8.1,3.0,4.1,2.1,5.1,4.0,29.0,40.2,41.4,38.5,8.1,6.1,33.7,33.0,37.6,37.6,41.0,41.2,6.0,4.0,6.1,8.0,24.0,37.0,38.2,45.1,4.0,3.0,3.0,4.1,39.6,40.6,2.1,3.0,42.6,40.4,18.8,26.3,3.0,3.0,8.0,10.2,6.1,9.1,29.7,28.0,20.8,18.0
1772940060.883096,10.3,8.0,14.1,11.0,27.3,43.0,6.1,7.0,4.1,5.1,5.1,5.1,33.3,32.0,19.6,17.3,23.0,18.2,26.0,33.3,34.7,37.6,41.6,40.0,3.0,4.0,8.1,7.1,32.0,22.2,38.6,43.6,2.0,4.0,5.1,3.0,41.0,38.0,1.0,1.0,41.0,40.6,21.2,14.0,1.0,2.0,9.1,8.0,7.2,5.1,13.9,12.2,22.2,13.3
1772940061.8839731,14.1,7.1,16.3,15.3,38.0,39.0,2.0,7.1,21.0,19.6,4.1,5.1,25.3,29.3,6.0,3.1,2.0,3.1,35.0,30.7,32.0,36.3,43.1,39.0,7.9,2.1,10.2,9.1,29.0,24.0,40.6,41.0,6.1,4.0,4.0,2.0,44.4,38.0,3.1,2.0,40.4,39.4,15.0,22.4,3.0,4.1,7.1,10.0,7.1,6.1,23.2,22.0,18.2,23.0
1772940062.8846247,16.7,11.9,16.2,12.1,38.0,31.0,1.0,4.0,2.0,3.0,5.0,4.1,32.0,31.0,30.7,24.2,19.2,20.0,30.0,30.7,35.0,34.7,39.0,42.6,3.0,4.0,6.9,11.9,31.7,21.0,41.6,40.6,2.0,4.0,1.0,3.0,39.4,39.6,2.0,1.0,41.0,40.2,20.0,15.8,1.0,2.0,6.1,8.1,7.9,9.0,19.0,19.0,15.0,20.0
1772940063.885618,11.3,9.0,16.2,12.2,34.7,32.0,3.0,1.0,7.1,7.1,7.1,5.1,26.3,28.7,36.5,41.2,3.1,3.1,34.7,30.3,35.3,37.4,45.5,36.6,6.0,3.1,4.1,8.2,28.7,20.2,34.7,48.0,6.1,1.0,4.0,2.0,41.6,41.0,20.0,14.0,41.0,40.4,12.4,23.2,4.0,2.1,6.1,8.1,6.1,6.1,19.0,18.2,21.2,19.2
1772940064.8860245,14.4,5.1,16.2,11.1,31.3,37.0,3.1,4.0,1.0,7.1,5.1,7.1,34.7,29.6,20.4,17.3,15.3,16.0,35.4,29.0,36.6,37.6,28.0,54.0,5.1,3.0,9.0,9.1,29.3,32.0,49.0,32.0,4.0,3.0,4.1,1.0,38.0,43.0,32.0,24.5,41.0,40.4,23.0,18.2,3.0,5.0,10.9,9.0,7.1,6.1,22.2,21.2,17.2,18.2
1772940065.8869383,13.1,9.2,11.1,18.4,34.7,41.0,3.1,9.0,24.0,21.2,5.1,4.0,21.0,35.6,8.0,3.1,7.1,6.2,26.0,41.0,34.7,40.2,22.8,59.2,5.1,3.0,9.2,6.9,25.3,27.3,43.1,38.6,4.0,4.1,3.0,4.1,36.6,43.0,3.1,2.0,40.6,40.0,24.2,19.2,3.0,3.0,9.2,6.1,5.0,6.2,17.0,19.8,16.2,21.2
1772940066.887814,13.1,5.1,11.2,15.0,38.0,29.0,5.0,7.1,7.1,2.0,5.1,3.1,20.2,33.0,27.0,23.2,6.1,7.1,27.3,34.0,34.0,33.3,27.3,53.5,3.1,5.0,4.0,9.3,22.0,22.2,43.6,40.0,2.0,4.0,2.0,3.0,40.0,40.6,3.0,1.0,40.4,40.0,13.9,20.0,4.0,2.0,8.0,7.1,6.1,8.0,17.3,19.4,15.2,18.0
1772940067.887905,10.6,6.0,14.3,16.2,26.5,46.0,2.0,10.2,3.1,5.1,5.1,5.1,18.2,32.7,38.1,37.5,15.3,15.5,28.0,38.0,33.7,36.6,23.8,58.8,5.0,4.0,11.0,7.9,22.2,27.6,37.0,44.6,3.0,4.1,4.0,2.0,38.6,41.6,6.1,2.0,39.0,39.0,21.0,19.4,3.1,3.0,6.2,8.1,8.1,4.1,22.0,22.2,19.0,21.2
