Task,Type,count_Base,count_Exp,count_Change%,mean_Base,mean_Exp,mean_Change%,variance_Base,variance_Exp,variance_Change%,std_Base,std_Exp,std_Change%,cv_Base,cv_Exp,cv_Change%,min_Base,min_Exp,min_Change%,max_Base,max_Exp,max_Change%,iqr_Base,iqr_Exp,iqr_Change%,p90_Base,p90_Exp,p90_Change%,p95_Base,p95_Exp,p95_Change%,attempts_Base,attempts_Exp,attempts_Change%,success_Base,success_Exp,success_Change%,failed_Base,failed_Exp,failed_Change%,failure_rate_Base,failure_rate_Exp,failure_rate_Change%,http_fail_Base,http_fail_Exp,http_fail_Change%,logic_fail_Base,logic_fail_Exp,logic_fail_Change%,timeout_fail_Base,timeout_fail_Exp,timeout_fail_Change%,exception_fail_Base,exception_fail_Exp,exception_fail_Change%,total_time_Base,total_time_Exp,total_time_Change%,throughput_Base,throughput_Exp,throughput_Change%,completed_requests_Base,completed_requests_Exp,completed_requests_Change%,attempted_requests_Base,attempted_requests_Exp,attempted_requests_Change%,successful_requests_Base,successful_requests_Exp,successful_requests_Change%,failed_requests_Base,failed_requests_Exp,failed_requests_Change%,attempt_throughput_Base,attempt_throughput_Exp,attempt_throughput_Change%,success_throughput_Base,success_throughput_Exp,success_throughput_Change%,failed_breakdown.http_fail_Base,failed_breakdown.http_fail_Exp,failed_breakdown.http_fail_Change%,failed_breakdown.logic_fail_Base,failed_breakdown.logic_fail_Exp,failed_breakdown.logic_fail_Change%,failed_breakdown.timeout_fail_Base,failed_breakdown.timeout_fail_Exp,failed_breakdown.timeout_fail_Change%,failed_breakdown.exception_fail_Base,failed_breakdown.exception_fail_Exp,failed_breakdown.exception_fail_Change%
Global_Summary,Summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0000,0.0000,0.0000,,,,,,,,,,,,,611.2209,614.0474,0.4624,135.0870,175.2992,29.7676,82568.0000,107642.0000,30.3677,82568.0000,107642.0000,30.3677,82568.0000,107642.0000,30.3677,0.0000,0.0000,0.0000,135.0870,175.2992,29.7676,135.0870,175.2992,29.7676,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
couchdb_test,Task,104.0000,116.0000,11.5385,22.9426,20.6105,-10.1648,32.0196,8.1101,-74.6713,5.6586,2.8478,-49.6724,0.2466,0.1382,-43.9778,18.5606,11.1472,-39.9416,42.5337,30.5488,-28.1774,6.0673,2.5681,-57.6725,32.5199,22.9718,-29.3609,33.4469,23.1913,-30.6623,104.0000,116.0000,11.5385,104.0000,116.0000,11.5385,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
disk,Task,4053.0000,4683.0000,15.5440,0.3766,0.3592,-4.6205,0.0269,0.0090,-66.6669,0.1639,0.0947,-42.2652,0.4354,0.2635,-39.4683,0.2219,0.2191,-1.2653,1.7015,1.6615,-2.3514,0.0877,0.0705,-19.5724,0.4963,0.4163,-16.1153,0.7248,0.4545,-37.2885,4053.0000,4683.0000,15.5440,4053.0000,4683.0000,15.5440,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
float_operation,Task,3152.0000,3294.0000,4.5051,0.5091,0.5643,10.8387,0.0057,0.0053,-6.7848,0.0757,0.0731,-3.4520,0.1488,0.1296,-12.8932,0.3384,0.4191,23.8547,0.9046,0.8045,-11.0610,0.0828,0.0941,13.7197,0.6058,0.6681,10.2954,0.6709,0.6947,3.5422,3152.0000,3294.0000,4.5051,3152.0000,3294.0000,4.5051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
image,Task,157.0000,153.0000,-2.5478,15.2191,15.7777,3.6707,5.3089,1.7446,-67.1384,2.3041,1.3208,-42.6749,0.1514,0.0837,-44.7047,12.9388,12.2102,-5.6307,24.6850,20.6728,-16.2535,2.5036,1.0121,-59.5746,18.5914,16.9625,-8.7617,19.8370,18.3767,-7.3615,157.0000,153.0000,-2.5478,157.0000,153.0000,-2.5478,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
k-means,Task,6304.0000,7921.0000,25.6504,0.1247,0.1395,11.8884,0.0107,0.0081,-24.8291,0.1035,0.0897,-13.2989,0.8301,0.6433,-22.5111,0.0328,0.0325,-0.8968,4.0006,3.8431,-3.9350,0.0741,0.0565,-23.8321,0.1870,0.1923,2.8243,0.1967,0.1996,1.4635,6304.0000,7921.0000,25.6504,6304.0000,7921.0000,25.6504,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linpack,Task,7492.0000,9097.0000,21.4229,0.0738,0.1005,36.0682,0.0011,0.0022,108.0042,0.0328,0.0473,44.2235,0.4440,0.4706,5.9935,0.0253,0.0252,-0.5052,0.5816,0.5268,-9.4296,0.0519,0.0629,21.2674,0.1096,0.1724,57.3095,0.1153,0.1893,64.1962,7492.0000,9097.0000,21.4229,7492.0000,9097.0000,21.4229,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
map_reduce,Task,9674.0000,14331.0000,48.1393,0.0121,0.0129,6.5303,0.0000,0.0000,225.4429,0.0034,0.0061,80.4003,0.2814,0.4766,69.3418,0.0092,0.0091,-1.4068,0.0527,0.1161,120.1490,0.0027,0.0033,24.0969,0.0154,0.0159,3.1490,0.0182,0.0195,7.4714,9674.0000,14331.0000,48.1393,9674.0000,14331.0000,48.1393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
markdown2html,Task,8704.0000,12145.0000,39.5335,0.0327,0.0390,19.3684,0.0013,0.0013,1.7738,0.0360,0.0363,0.8830,1.1010,0.9305,-15.4860,0.0148,0.0147,-0.6298,1.4504,1.3439,-7.3459,0.0237,0.0419,76.7137,0.0771,0.0882,14.3166,0.0911,0.0972,6.7418,8704.0000,12145.0000,39.5335,8704.0000,12145.0000,39.5335,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matmul,Task,4416.0000,5258.0000,19.0670,0.2815,0.2875,2.1326,0.0036,0.0035,-4.2061,0.0600,0.0588,-2.1256,0.2133,0.2044,-4.1693,0.1174,0.1210,3.0848,0.7174,0.7908,10.2338,0.0806,0.0722,-10.4087,0.3686,0.3780,2.5465,0.3838,0.3907,1.8057,4416.0000,5258.0000,19.0670,4416.0000,5258.0000,19.0670,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
network,Task,6947.0000,9867.0000,42.0325,0.1138,0.0849,-25.4083,0.0081,0.0044,-45.4352,0.0898,0.0664,-26.1320,0.7893,0.7816,-0.9702,0.0343,0.0333,-2.9427,1.1212,1.0916,-2.6412,0.0719,0.0662,-7.8503,0.1974,0.1405,-28.8260,0.2688,0.1738,-35.3475,6947.0000,9867.0000,42.0325,6947.0000,9867.0000,42.0325,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_adult,Task,174.0000,182.0000,4.5977,13.5290,13.0324,-3.6703,10.3502,9.5885,-7.3600,3.2172,3.0965,-3.7503,0.2378,0.2376,-0.0831,10.1568,10.0803,-0.7527,30.3625,31.7138,4.4504,4.3333,3.0916,-28.6537,16.8791,16.2194,-3.9079,18.1243,16.6901,-7.9130,174.0000,182.0000,4.5977,174.0000,182.0000,4.5977,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_censor,Task,7913.0000,11331.0000,43.1947,0.0055,0.0051,-8.4162,0.0001,0.0001,-20.6147,0.0118,0.0105,-10.9016,2.1304,2.0725,-2.7138,0.0018,0.0018,-2.1076,0.1214,0.1083,-10.7484,0.0014,0.0014,1.2263,0.0054,0.0050,-5.7880,0.0090,0.0062,-30.9970,7913.0000,11331.0000,43.1947,7913.0000,11331.0000,43.1947,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_extract,Task,540.0000,602.0000,11.4815,4.1510,3.7774,-9.0003,0.6492,0.2329,-64.1319,0.8058,0.4826,-40.1100,0.1941,0.1278,-34.1866,2.4597,2.3396,-4.8825,7.6928,8.0107,4.1327,0.5875,0.3610,-38.5536,5.1159,4.1115,-19.6323,5.8539,4.4377,-24.1930,540.0000,602.0000,11.4815,540.0000,602.0000,11.4815,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_mosaic,Task,998.0000,1129.0000,13.1263,2.0968,1.9134,-8.7438,0.5446,0.1697,-68.8424,0.7380,0.4119,-44.1810,0.3519,0.2153,-38.8327,1.2062,1.0283,-14.7522,6.6309,6.3552,-4.1574,0.5003,0.3050,-39.0340,2.9633,2.1916,-26.0402,3.4570,2.3963,-30.6818,998.0000,1129.0000,13.1263,998.0000,1129.0000,13.1263,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
recognizer_translate,Task,5582.0000,7431.0000,33.1243,0.1087,0.1082,-0.4261,0.0002,0.0001,-20.8751,0.0126,0.0112,-11.0478,0.1160,0.1036,-10.6671,0.1058,0.1058,-0.0369,0.6708,0.6200,-7.5693,0.0021,0.0020,-5.6928,0.1106,0.1104,-0.1528,0.1127,0.1120,-0.5634,5582.0000,7431.0000,33.1243,5582.0000,7431.0000,33.1243,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
