timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_1),CPU_66(group_1),CPU_4(group_2),CPU_68(group_2),CPU_6(group_3),CPU_70(group_3),CPU_8(group_4),CPU_72(group_4),CPU_10(group_5),CPU_74(group_5),CPU_12(group_6),CPU_76(group_6),CPU_14(group_7),CPU_78(group_7),CPU_16(group_8),CPU_80(group_8),CPU_18(group_9),CPU_82(group_9),CPU_20(group_10),CPU_84(group_10),CPU_22(group_11),CPU_86(group_11),CPU_24(group_12),CPU_88(group_12),CPU_26(group_13),CPU_90(group_13),CPU_28(group_14),CPU_92(group_14),CPU_30(group_15),CPU_94(group_15),CPU_32(group_16),CPU_96(group_16),CPU_34(group_17),CPU_98(group_17),CPU_36(group_18),CPU_100(group_18),CPU_38(group_19),CPU_102(group_19),CPU_40(group_20),CPU_104(group_20),CPU_42(group_21),CPU_106(group_21),CPU_44(group_22),CPU_108(group_22),CPU_46(group_23),CPU_110(group_23),CPU_48(group_24),CPU_112(group_24),CPU_50(group_25),CPU_114(group_25),CPU_52(group_26),CPU_116(group_26)
1772962967.7523835,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
1772962968.7548738,30.6,20.0,27.3,26.5,39.4,41.0,8.1,5.1,7.0,3.1,21.0,19.0,39.0,44.6,30.0,21.4,19.2,16.0,33.0,40.4,40.6,39.6,45.0,37.3,6.0,5.0,9.1,14.0,38.2,38.0,44.6,37.4,12.0,13.3,1.0,4.1,36.4,44.6,2.1,6.2,13.1,12.1,35.0,26.3,2.0,2.0,11.2,17.0,9.0,10.1,12.1,16.3,28.3,28.3
1772962969.7581775,11.2,11.0,21.8,19.2,46.5,31.7,5.1,2.0,22.2,21.2,4.0,6.0,41.2,41.2,6.1,9.0,4.1,2.0,35.4,34.7,41.2,39.8,36.0,44.6,3.1,5.0,8.1,7.0,26.0,37.6,40.6,41.0,1.0,4.0,2.0,6.1,39.6,39.4,3.0,3.1,12.9,11.2,19.8,27.7,3.0,3.0,10.1,8.1,7.0,7.0,33.0,26.7,23.0,20.2
1772962970.7588224,13.0,10.0,14.3,15.2,40.2,30.3,5.1,3.0,6.1,2.0,3.1,5.1,36.0,33.3,36.7,20.2,16.0,14.3,30.7,32.3,38.0,39.6,40.6,40.0,4.0,4.0,9.0,8.1,23.2,30.0,49.0,31.7,5.1,4.0,4.0,2.0,38.4,40.0,3.1,7.1,32.3,37.0,18.2,21.2,5.1,2.0,8.1,6.1,6.1,8.0,13.0,12.1,23.0,15.0
1772962971.7617352,13.1,10.0,18.2,18.4,41.6,36.6,6.1,2.0,4.0,3.1,7.0,10.1,37.0,27.0,42.9,35.1,4.1,6.0,33.0,38.0,35.9,42.2,40.6,41.0,4.0,6.0,8.2,8.2,33.3,26.5,43.6,37.4,5.1,2.0,1.0,4.0,41.4,38.6,3.1,6.0,40.6,41.0,23.5,26.0,15.0,2.0,9.1,14.0,5.1,7.1,28.7,29.7,21.0,23.2
1772962972.7630022,11.5,6.2,17.3,13.4,31.6,41.4,2.0,3.1,3.1,5.2,3.1,5.2,29.7,29.6,21.2,19.6,12.2,15.5,33.0,38.0,36.0,35.4,40.0,42.6,6.1,7.1,9.0,8.1,29.7,29.7,38.0,42.6,4.0,4.0,5.1,5.1,43.4,39.8,3.1,8.2,40.0,40.0,21.6,21.4,23.5,3.0,8.1,9.1,8.1,6.1,16.3,15.5,21.2,17.2
1772962973.7648172,12.9,12.0,15.0,19.8,37.4,36.6,4.0,1.0,22.4,22.0,6.0,6.0,32.0,30.7,10.0,11.2,5.0,10.0,35.4,31.3,37.9,40.6,41.0,40.6,4.0,6.0,12.2,8.0,27.6,29.0,41.6,40.6,5.1,3.1,2.0,2.0,40.2,42.0,6.3,16.8,41.6,41.2,23.0,19.8,38.2,2.0,10.0,8.1,6.1,7.0,21.8,24.0,18.4,23.0
1772962974.767568,11.2,9.1,17.2,15.3,40.0,33.7,2.0,2.0,4.0,2.0,4.0,5.1,27.0,25.3,26.3,35.4,15.2,9.2,28.7,28.7,37.0,34.0,39.6,43.1,5.0,5.1,6.0,8.1,24.8,29.0,39.4,41.0,3.1,1.0,0.0,3.0,38.4,41.0,3.1,2.0,39.4,41.6,19.0,19.2,30.3,1.0,8.0,9.1,6.1,5.2,14.1,17.0,17.8,18.2
1772962975.7730222,8.2,12.1,21.0,14.3,38.4,37.0,5.0,3.1,4.0,5.0,5.2,4.0,33.3,30.7,39.2,33.7,10.2,4.0,35.4,31.3,38.6,37.0,39.6,42.0,6.0,5.0,10.2,12.0,32.0,35.0,35.0,48.0,7.9,3.0,3.0,4.0,43.6,39.0,22.2,16.3,41.6,40.0,28.3,27.0,34.0,2.0,9.2,8.1,9.0,9.0,29.0,30.3,24.0,22.0
1772962976.7738857,15.2,11.1,19.0,14.1,40.8,29.0,3.1,3.1,6.1,4.0,5.1,5.1,29.3,27.0,14.3,16.2,16.2,10.1,42.9,25.3,37.6,35.0,40.4,41.2,4.1,3.1,9.0,6.1,23.5,27.0,24.2,55.6,4.1,3.1,4.0,7.1,44.3,35.0,26.5,20.4,40.6,41.0,18.0,23.8,1.0,4.1,10.0,13.1,7.1,4.1,19.8,17.2,21.2,17.0
