timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_2),CPU_8(group_3),CPU_10(group_3),CPU_12(group_3),CPU_14(group_4),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_2),CPU_72(group_3),CPU_74(group_3),CPU_76(group_3),CPU_78(group_4)
1768795379.8477163,17.2,14.4,14.3,14.1,15.3,15.5,14.3,14.1,16.5,13.4,18.2,21.2,19.4,15.5,12.4,13.5
1768795380.8499322,41.7,39.2,43.9,39.8,39.0,40.4,42.4,38.8,47.0,37.4,40.8,38.8,39.4,43.4,48.5,40.8
1768795381.8520694,32.6,27.6,36.4,35.7,27.6,28.6,23.7,25.3,31.3,24.5,22.7,23.5,35.4,26.8,29.3,27.6
1768795382.8540087,32.3,29.6,27.8,32.7,28.0,35.4,32.3,32.3,34.3,28.6,31.3,28.0,29.6,26.8,27.8,33.7
1768795383.8570843,39.2,37.4,40.2,31.0,32.7,31.6,29.6,40.0,32.3,31.3,33.3,32.3,41.4,34.3,40.0,39.0
1768795384.858908,19.0,19.0,18.8,12.2,11.1,23.0,14.1,27.0,17.3,20.4,17.2,21.2,15.0,16.0,29.0,12.2
1768795385.8630538,15.0,14.1,17.0,18.0,10.1,11.2,11.0,16.0,16.0,10.1,12.0,15.0,17.2,18.4,24.5,14.0
1768795386.8653297,24.2,13.7,12.0,13.1,13.9,29.0,24.7,12.0,15.0,15.0,20.0,17.8,14.3,13.1,19.4,37.0
1768795387.8684323,21.2,22.0,17.2,23.2,14.7,18.2,29.3,17.2,15.0,14.3,15.0,17.0,21.2,16.0,13.0,23.2
1768795388.8707714,21.0,16.5,18.8,11.9,20.6,18.0,13.0,20.0,24.0,19.4,6.2,13.0,11.2,17.5,17.3,14.1
1768795389.9034765,15.3,24.5,17.2,19.2,24.5,14.0,18.2,10.1,13.1,13.3,13.3,17.5,20.0,21.6,16.3,12.1
1768795390.9054244,25.0,22.0,19.8,28.6,19.4,21.2,22.2,18.4,22.2,21.4,15.0,15.3,17.2,11.3,10.3,10.1
1768795391.9079897,13.7,25.0,16.3,20.2,12.1,12.4,12.2,11.2,24.2,20.6,21.4,22.4,22.2,21.2,15.2,20.0
1768795392.910274,21.0,15.2,23.0,19.6,17.2,16.3,9.3,14.1,14.1,22.7,22.2,15.3,15.3,17.0,16.5,19.6
1768795393.913708,18.2,40.0,19.4,16.0,21.2,14.3,13.1,15.2,23.4,22.4,25.8,34.7,21.4,27.4,27.3,24.0
1768795394.9487083,20.4,18.4,20.0,12.4,16.0,15.2,17.5,15.5,23.2,17.0,22.2,18.6,19.2,26.3,17.2,22.4
