timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_2),CPU_8(group_3),CPU_10(group_3),CPU_12(group_3),CPU_14(group_4),CPU_16(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_2),CPU_72(group_3),CPU_74(group_3),CPU_76(group_3),CPU_78(group_4),CPU_80(group_5)
1768748855.7331684,24.5,20.4,20.4,19.4,22.2,20.6,19.6,20.2,46.9,21.2,20.4,19.6,20.6,22.7,22.7,22.2,19.8,65.3
1768748856.7353563,35.8,35.7,30.3,30.6,30.6,45.0,31.3,31.6,68.7,40.4,41.4,30.9,34.3,31.6,33.3,31.6,30.6,58.6
1768748857.7376602,26.0,21.2,23.2,23.2,32.0,22.2,22.0,23.2,74.7,21.4,23.5,22.7,25.0,31.0,29.0,22.4,25.3,83.7
1768748858.7402956,35.1,33.7,34.7,35.4,33.3,33.3,34.7,34.7,100.0,34.0,38.1,33.7,34.7,38.8,34.7,42.6,35.4,100.0
1768748859.7438061,32.7,30.6,33.3,28.3,38.8,27.1,31.6,24.7,100.0,27.6,37.4,26.8,26.8,27.6,33.7,32.7,27.6,100.0
1768748860.7478533,22.9,6.1,23.0,9.0,9.1,4.0,15.2,8.1,100.0,2.0,7.1,6.1,8.1,7.1,6.1,17.8,2.0,100.0
1768748861.750321,8.4,7.1,22.8,7.1,1.0,3.0,3.0,2.0,100.0,7.1,3.0,3.0,1.0,1.0,1.0,0.0,0.0,100.0
1768748862.773863,12.6,14.3,8.1,8.2,9.9,8.2,8.1,11.1,100.0,12.0,3.0,6.0,9.1,6.9,5.9,4.0,6.0,100.0
1768748863.7768016,8.2,5.0,3.0,1.0,3.0,5.0,1.0,14.1,100.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0,2.0,100.0
1768748864.7810688,6.3,0.0,1.0,3.0,2.0,2.0,2.0,7.1,100.0,7.1,6.0,2.0,2.0,1.0,0.0,0.0,4.0,100.0
1768748865.8465083,10.9,0.0,2.0,2.1,2.0,1.0,1.0,1.0,100.0,16.3,3.0,10.2,13.3,6.0,11.0,8.0,2.0,100.0
1768748866.8509855,7.4,3.0,5.1,9.1,9.2,3.0,2.0,1.0,100.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,5.1,100.0
1768748867.8550553,3.2,2.0,9.1,10.2,9.3,7.1,6.1,10.0,100.0,0.0,0.0,0.0,9.1,5.1,4.0,2.0,1.0,100.0
1768748868.8583403,5.3,4.0,4.1,0.0,2.0,4.1,4.1,1.0,100.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,100.0
1768748869.8626983,19.8,2.0,1.0,2.0,2.0,1.0,2.0,0.0,100.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,100.0
