timestamp,CPU_0(group_0),CPU_2(group_1),CPU_4(group_1),CPU_6(group_1),CPU_8(group_1),CPU_10(group_1),CPU_12(group_2),CPU_14(group_3),CPU_16(group_3),CPU_18(group_3),CPU_20(group_3),CPU_22(group_3),CPU_24(group_3),CPU_26(group_4),CPU_28(group_5),CPU_64(group_0),CPU_66(group_1),CPU_68(group_1),CPU_70(group_1),CPU_72(group_1),CPU_74(group_1),CPU_76(group_2),CPU_78(group_3),CPU_80(group_3),CPU_82(group_3),CPU_84(group_3),CPU_86(group_3),CPU_88(group_3),CPU_90(group_4),CPU_92(group_5)
1768747131.4211984,32.7,33.7,33.0,29.2,29.5,30.9,31.6,30.9,30.6,29.9,28.9,30.2,31.6,30.2,72.7,30.6,30.9,31.6,33.0,29.2,30.2,30.9,30.9,38.5,30.9,33.0,31.3,34.0,40.2,68.7
1768747132.4238038,49.0,44.8,43.7,44.9,50.0,45.8,44.3,44.9,44.8,43.9,44.8,44.8,45.4,52.6,97.0,47.4,46.4,42.7,45.4,50.0,44.8,56.1,60.6,46.9,45.8,46.4,56.1,45.4,50.0,97.0
1768747133.4272223,48.0,42.7,46.9,45.8,45.8,47.9,46.4,43.7,49.0,45.7,43.7,43.3,42.3,48.5,100.0,45.9,42.7,44.8,50.0,48.4,44.3,42.7,45.4,48.0,49.0,49.0,51.0,44.9,45.9,100.0
1768747134.4338427,18.4,19.0,25.3,23.7,29.3,45.9,30.0,33.7,11.3,23.5,21.9,21.8,13.0,17.3,100.0,16.5,19.6,20.2,27.0,14.3,16.2,12.2,11.3,24.7,15.2,24.5,17.3,13.4,31.0,100.0
1768747135.4383018,4.3,5.1,3.0,5.1,19.8,4.1,3.0,6.1,1.0,8.2,9.1,9.1,9.3,10.0,100.0,2.0,2.0,1.0,10.0,2.0,4.0,6.1,7.1,17.3,4.2,10.2,5.1,2.0,6.1,100.0
1768747136.4408455,2.2,3.1,2.0,0.0,22.2,4.0,2.1,2.0,1.0,12.0,14.0,1.0,10.2,13.3,100.0,0.0,1.0,1.0,0.0,0.0,3.1,6.1,5.0,3.0,9.2,10.1,8.2,0.0,15.0,100.0
1768747137.4445546,6.2,3.0,3.0,2.0,2.0,1.0,3.0,5.1,3.0,2.0,1.0,5.1,3.0,1.0,100.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,1.0,3.0,2.0,15.7,100.0
1768747138.447483,16.5,3.0,4.0,0.0,0.0,0.0,2.0,5.1,2.0,0.0,1.0,3.0,1.0,0.0,100.0,1.0,0.0,0.0,1.0,0.0,2.1,0.0,2.0,0.0,1.0,0.0,4.0,1.0,14.0,100.0
1768747139.4511268,21.5,2.1,11.1,13.1,1.0,1.0,2.0,15.5,3.0,1.0,2.0,1.0,1.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,2.0,2.0,2.0,12.0,0.0,100.0
1768747140.4567924,20.2,4.0,4.0,6.0,0.0,0.0,1.0,8.0,2.0,3.0,1.0,3.0,2.0,6.0,100.0,0.0,2.0,2.9,1.0,1.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,2.0,1.0,100.0
