timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770650849.1573358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1770650850.1576197,56.6,55.6,61.0,64.4,61.0,62.6,66.0,61.6,83.8,78.8,77.0,79.8,65.7,61.2,50.5,54.6,56.6,64.0,69.0,54.6,67.0,75.0,67.3,69.4
1770650851.157688,59.4,58.6,53.6,55.6,66.0,59.8,70.0,71.7,84.0,88.0,84.0,81.0,53.5,50.0,48.5,53.1,59.6,60.2,65.3,65.0,73.7,69.7,71.7,66.3
1770650852.157759,60.6,70.4,58.0,63.3,73.5,65.7,71.7,62.2,86.1,86.9,84.0,82.8,56.7,55.6,58.2,62.6,69.7,70.0,69.7,69.1,79.0,74.0,72.7,71.0
1770650853.1578438,49.0,50.0,52.1,49.0,66.3,62.2,59.2,70.0,79.0,83.2,80.6,84.2,70.3,68.7,61.6,64.0,79.0,79.0,80.2,74.3,64.6,67.7,69.0,66.3
1770650854.1579103,53.0,55.6,53.1,50.5,56.6,69.4,58.2,62.0,79.0,78.0,83.2,81.8,61.4,66.0,62.0,62.0,65.7,69.8,71.0,71.4,80.0,72.3,73.0,71.7
1770650855.157981,54.6,51.5,46.5,47.5,62.2,65.3,71.0,58.2,74.7,81.4,77.0,83.0,52.5,52.5,53.5,61.0,77.6,84.0,84.8,80.0,63.9,72.0,76.8,70.3
1770650856.1581154,58.6,61.0,55.1,58.0,54.6,64.0,50.0,59.0,73.3,75.8,72.5,78.8,48.0,38.4,44.4,39.6,66.0,68.0,62.0,63.6,71.3,63.0,64.6,65.3
1770650857.1581888,36.1,44.0,33.3,29.0,47.5,49.5,52.5,54.1,76.8,71.3,66.0,72.0,41.4,42.0,46.5,41.6,72.7,74.0,78.6,76.8,54.0,62.0,61.0,61.2
1770650858.1582696,27.6,29.7,27.0,24.0,45.5,38.4,32.3,49.0,64.0,69.0,61.0,59.0,39.8,38.0,40.0,38.0,56.6,55.0,60.8,59.8,58.0,48.5,58.4,57.0
1770650859.1586964,32.3,27.7,26.5,26.0,32.7,38.0,36.0,61.4,62.0,67.0,62.6,64.4,33.0,29.4,32.7,29.0,63.6,61.6,56.1,56.6,60.0,58.0,53.0,62.4
1770650860.1589622,30.9,26.5,29.0,30.0,53.0,46.5,42.0,51.5,63.4,68.0,62.7,56.0,30.0,19.4,26.0,23.0,53.5,57.0,63.0,63.4,63.0,59.0,57.4,59.4
1770650861.159225,44.9,35.0,34.0,35.4,41.6,43.4,52.9,48.5,59.0,64.0,70.0,65.7,25.0,26.0,25.3,26.3,51.5,57.4,54.5,53.1,57.4,55.4,65.0,57.4
1770650862.1593702,29.5,25.3,28.0,27.0,42.0,61.0,38.8,34.0,58.6,56.0,62.0,70.0,42.6,44.1,32.0,41.7,59.0,58.4,65.3,63.4,57.0,65.3,55.0,60.4
