timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_0),CPU_68(group_0),CPU_6(group_0),CPU_70(group_0),CPU_8(group_0),CPU_72(group_0),CPU_10(group_0),CPU_74(group_0),CPU_12(group_0),CPU_76(group_0),CPU_14(group_0),CPU_78(group_0),CPU_16(group_0),CPU_80(group_0),CPU_18(group_0),CPU_82(group_0),CPU_20(group_0),CPU_84(group_0)
1770631161.0026422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
1770631162.003552,68.3,65.3,62.7,61.4,66.0,57.8,66.7,64.7,59.4,64.6,62.4,63.7,68.3,62.1,69.6,60.0,66.3,64.4,62.7,63.7,72.3,61.6
1770631163.0036254,47.5,58.4,63.4,47.0,44.6,49.0,54.1,46.5,49.0,42.6,47.0,54.5,52.5,47.5,47.0,49.0,55.9,58.0,56.4,51.5,50.0,47.1
1770631164.0036948,70.0,67.3,77.2,59.6,72.3,63.3,68.3,70.4,77.2,74.3,65.7,71.7,72.0,69.0,65.7,78.6,75.0,69.3,67.7,63.4,69.3,70.0
1770631165.0037644,74.3,71.0,77.2,67.6,72.7,73.5,72.0,67.3,71.0,72.5,74.5,72.5,74.8,73.0,74.3,83.0,74.0,72.3,74.0,72.3,74.5,71.8
1770631166.0038412,76.2,67.6,70.6,73.0,63.0,68.7,64.6,65.3,64.0,65.7,61.8,70.0,63.0,64.6,77.2,71.3,67.0,67.3,69.3,66.0,70.3,68.7
1770631167.0039134,82.2,70.7,77.8,72.0,74.3,75.2,74.0,72.3,71.0,71.0,67.3,72.5,74.3,71.0,69.7,81.8,74.5,71.7,70.6,74.0,70.3,77.0
1770631168.0039818,71.4,65.0,70.0,67.3,70.7,68.3,66.3,71.7,68.0,68.0,70.7,66.0,66.0,64.4,69.3,70.6,69.7,71.3,63.3,70.0,65.0,79.2
1770631169.004059,71.3,61.4,65.3,66.3,63.0,61.0,65.7,65.0,62.4,63.0,61.4,65.0,59.8,62.0,68.0,67.7,65.0,67.3,63.7,65.0,63.0,73.0
1770631170.0041337,68.3,67.7,70.3,70.3,65.3,63.0,70.3,65.0,67.3,60.0,71.6,65.0,63.4,75.0,64.4,72.5,71.0,68.0,69.3,65.3,64.4,71.3
1770631171.0042353,72.3,67.3,65.0,72.0,63.6,71.8,68.3,76.5,62.6,73.0,66.3,68.9,70.6,62.7,64.4,66.3,69.0,72.3,68.3,72.0,69.0,65.3
