timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_0),CPU_66(group_0),CPU_4(group_1),CPU_68(group_1),CPU_6(group_1),CPU_70(group_1),CPU_8(group_2),CPU_72(group_2),CPU_10(group_2),CPU_74(group_2),CPU_12(group_3),CPU_76(group_3),CPU_14(group_3),CPU_78(group_3),CPU_16(group_4),CPU_80(group_4),CPU_18(group_4),CPU_82(group_4),CPU_20(group_5),CPU_84(group_5),CPU_22(group_5),CPU_86(group_5)
1770631973.3144038,3.6,2.3,2.1,1.9,2.5,2.3,2.5,2.6,2.5,2.2,2.4,2.4,2.0,1.8,2.7,2.5,2.5,1.9,3.6,2.2,2.3,1.9,1.8,1.8
1770631974.3144724,59.2,52.9,51.0,51.0,57.6,47.5,54.5,50.0,51.5,53.9,52.4,48.5,46.0,58.4,51.0,47.1,50.0,52.9,49.0,44.4,48.0,49.0,11.2,22.2
1770631975.3148923,68.6,61.0,64.7,67.0,61.4,57.0,59.4,62.7,61.4,63.6,62.4,64.0,61.8,61.0,56.4,63.0,63.0,61.4,56.4,62.7,62.0,62.4,7.2,22.2
1770631976.314961,64.0,63.4,69.7,60.6,59.6,64.7,65.3,69.0,63.6,63.4,63.0,62.7,62.4,68.3,68.6,69.0,59.6,67.7,64.6,67.7,66.7,67.0,23.5,12.6
1770631977.3150349,57.8,54.9,61.0,56.4,58.4,59.6,56.0,59.6,60.2,61.4,62.0,59.4,57.6,57.0,55.9,53.5,61.2,59.8,58.4,61.8,55.0,56.9,12.4,10.1
1770631978.3151472,56.0,52.5,51.0,52.5,60.4,48.0,51.0,53.5,48.0,53.0,44.6,57.4,50.0,60.4,52.5,57.4,53.0,57.0,50.5,69.3,56.9,51.5,12.1,21.4
1770631979.3152218,60.0,61.8,57.6,61.0,62.4,61.0,61.4,62.6,58.4,60.0,66.7,57.0,59.0,61.4,60.0,58.0,63.7,66.0,64.0,64.4,61.8,65.3,22.2,17.3
1770631980.3160095,64.0,61.4,62.7,62.7,67.0,60.4,54.5,64.0,60.4,65.7,63.0,69.3,59.2,62.0,66.0,63.1,60.0,64.7,60.4,61.8,62.0,59.8,15.3,15.6
1770631981.3160949,62.4,63.7,56.6,65.3,65.0,64.7,66.7,63.7,59.4,60.8,59.8,63.4,64.0,66.7,64.4,61.2,64.4,55.4,58.4,60.4,60.4,60.2,22.4,12.1
1770631982.3163552,56.0,56.9,54.5,58.4,54.5,51.5,48.0,53.4,53.9,50.5,56.4,52.0,58.8,65.3,59.0,49.5,53.5,57.0,47.5,48.5,62.7,55.4,6.1,27.6
1770631983.316605,62.0,52.0,57.4,52.9,57.0,57.8,49.0,50.5,59.4,52.4,55.4,59.4,57.3,63.7,69.0,59.4,57.8,64.4,51.5,54.0,56.9,55.9,8.2,14.1
1770631984.3171873,60.4,47.5,57.8,56.9,49.0,53.5,53.5,51.0,60.0,54.0,48.5,56.9,46.0,61.2,55.4,54.8,56.4,57.8,51.0,62.0,52.5,51.5,16.2,7.2
1770631985.3186123,57.4,59.8,55.6,55.0,55.4,56.4,52.9,54.5,52.0,57.8,54.9,54.0,57.0,59.0,51.5,53.5,56.9,55.0,60.4,53.0,57.0,51.0,13.1,10.3
1770631986.3186843,54.0,47.6,51.5,45.0,51.0,55.4,52.5,49.5,50.0,48.0,57.4,58.3,54.4,58.4,50.0,52.0,52.5,46.6,60.4,56.9,51.5,50.0,35.4,6.1
1770631987.318781,45.5,45.1,44.1,58.3,46.2,47.5,43.6,48.5,52.9,40.0,40.6,46.5,48.0,44.1,46.5,42.2,50.0,59.0,47.1,52.4,51.5,46.0,15.2,5.1
1770631988.318866,50.0,46.5,51.5,48.5,38.0,46.1,47.1,55.4,56.9,44.6,52.4,47.5,48.5,45.1,57.4,58.8,58.3,46.1,48.5,45.5,47.5,50.5,6.0,5.1
1770631989.3189332,45.5,48.5,52.0,41.0,46.0,41.6,41.6,48.0,49.0,44.1,51.5,53.4,42.2,50.0,42.2,51.0,48.0,46.0,47.1,40.0,43.6,47.5,4.1,7.1
