timestamp,CPU_0(group_0),CPU_64(group_0),CPU_2(group_1),CPU_66(group_1),CPU_4(group_2),CPU_68(group_2),CPU_6(group_3),CPU_70(group_3),CPU_8(group_4),CPU_72(group_4),CPU_10(group_5),CPU_74(group_5),CPU_12(group_6),CPU_76(group_6),CPU_14(group_7),CPU_78(group_7),CPU_16(group_8),CPU_80(group_8),CPU_18(group_9),CPU_82(group_9),CPU_20(group_10),CPU_84(group_10),CPU_22(group_11),CPU_86(group_11),CPU_24(group_12),CPU_88(group_12),CPU_26(group_13),CPU_90(group_13),CPU_28(group_14),CPU_92(group_14),CPU_30(group_15),CPU_94(group_15),CPU_32(group_16),CPU_96(group_16),CPU_34(group_17),CPU_98(group_17),CPU_36(group_18),CPU_100(group_18),CPU_38(group_19),CPU_102(group_19),CPU_40(group_20),CPU_104(group_20),CPU_42(group_21),CPU_106(group_21),CPU_44(group_22),CPU_108(group_22),CPU_46(group_23),CPU_110(group_23),CPU_48(group_24),CPU_112(group_24),CPU_50(group_25),CPU_114(group_25),CPU_52(group_26),CPU_116(group_26)
1770631569.2238886,3.9,2.6,3.6,3.0,2.7,2.0,2.4,3.2,3.3,2.5,2.1,2.5,2.9,2.7,2.0,2.3,2.5,2.5,2.5,2.8,2.4,2.8,1.7,1.7,1.7,1.9,2.0,1.9,2.0,1.8,2.1,2.4,1.6,2.0,2.0,1.8,1.8,2.0,2.1,1.7,1.7,1.7,1.8,1.6,1.7,1.8,1.9,1.8,2.1,2.1,1.9,2.0,2.2,1.7
1770631570.2251718,63.6,55.9,57.1,54.0,63.6,55.4,67.6,56.0,54.0,58.0,55.4,61.6,55.6,53.0,59.0,66.0,54.0,60.8,62.4,58.0,59.0,63.0,14.3,11.3,10.3,12.2,12.2,14.4,17.3,14.3,14.4,20.2,10.1,27.8,13.0,12.1,9.2,12.2,11.1,11.2,10.2,15.2,12.0,12.1,11.2,26.5,16.0,15.6,11.2,11.2,12.1,14.3,12.0,13.3
1770631571.2252412,62.0,62.2,63.0,63.6,58.4,61.4,65.0,68.3,65.7,64.0,61.0,64.7,64.0,63.0,58.4,59.6,61.8,61.4,62.4,61.0,63.0,63.0,12.1,10.3,13.3,12.2,21.0,24.5,12.2,12.1,11.5,11.2,10.1,23.2,12.4,13.3,11.2,12.1,9.4,10.2,11.2,11.2,23.5,14.3,15.3,12.0,12.4,9.2,11.2,8.2,13.4,11.2,12.4,8.3
1770631572.225315,58.6,66.0,66.0,59.0,67.0,62.4,64.6,62.4,63.6,59.6,64.4,60.6,61.6,68.0,57.4,60.0,64.4,64.3,61.6,69.0,68.0,64.4,31.3,18.4,18.7,19.6,19.8,18.6,20.2,21.0,23.2,17.5,18.6,20.2,17.3,22.7,20.2,20.2,19.2,20.8,18.4,22.4,42.9,17.3,23.5,16.2,17.5,22.8,15.5,18.4,17.3,19.4,19.6,19.2
1770631573.2254024,58.6,57.0,53.0,51.5,48.5,52.0,57.4,55.4,53.5,58.0,61.0,52.9,54.4,57.0,56.0,58.4,50.5,59.8,58.0,54.0,50.0,50.0,20.6,12.4,19.2,12.4,14.3,14.3,13.3,15.5,15.2,14.3,13.5,11.3,14.4,11.3,11.3,10.4,15.2,12.1,21.6,10.3,10.3,12.1,25.5,14.3,10.2,12.2,16.3,12.1,13.1,14.0,15.3,12.4
1770631574.225474,61.6,60.4,62.2,57.0,61.8,57.0,63.6,53.0,57.6,60.0,61.0,51.5,62.0,53.0,59.2,58.4,59.6,63.6,57.4,59.8,63.0,50.5,28.6,20.2,19.6,22.7,19.6,20.6,17.5,18.4,19.2,20.2,19.6,20.4,18.4,19.4,20.2,19.4,25.5,18.4,19.0,27.6,17.3,18.7,28.0,18.4,20.2,20.8,17.5,29.6,17.7,23.2,17.7,19.4
1770631575.225542,59.8,54.5,60.0,60.0,58.0,61.8,60.0,58.0,58.4,61.8,57.0,65.7,60.8,58.8,52.9,62.4,56.9,61.4,56.4,61.4,64.0,59.6,20.6,14.3,11.3,15.3,14.3,12.2,16.3,13.3,11.3,12.4,12.2,13.4,9.2,13.4,10.2,23.2,14.0,13.1,12.1,12.1,12.2,11.1,13.3,15.3,13.3,15.0,12.1,19.6,22.0,22.4,11.1,13.1
1770631576.2256224,67.3,71.3,65.7,68.3,63.0,63.7,74.0,66.0,66.3,73.0,67.0,65.3,69.6,72.7,67.3,69.3,67.0,65.7,71.6,67.3,67.0,65.3,14.4,15.6,16.5,17.3,14.6,17.5,13.5,20.6,17.7,17.8,14.4,16.3,14.3,30.3,15.3,20.8,17.3,16.5,14.3,16.3,15.3,17.3,14.4,16.3,17.2,14.4,14.6,15.3,16.5,18.6,16.3,13.4
1770631577.2257936,59.6,63.4,67.0,64.4,61.4,67.3,58.6,64.4,66.0,68.9,66.7,65.3,73.0,68.0,62.1,63.4,64.0,65.3,59.0,63.4,72.5,66.0,15.3,12.4,10.4,11.5,16.2,21.2,14.1,13.1,14.0,11.6,15.0,13.3,9.4,14.3,11.1,12.2,11.3,10.3,12.1,18.6,12.4,13.1,13.4,13.0,14.0,11.1,10.3,12.2,14.1,12.2,12.1,10.3
1770631578.226135,69.0,54.0,70.3,56.6,59.4,51.5,60.4,63.0,57.0,56.0,56.0,65.0,64.1,56.4,61.6,53.5,56.4,58.3,61.2,60.4,60.0,59.6,14.1,10.3,11.2,13.3,16.7,7.3,9.2,15.2,7.1,10.2,8.1,12.1,8.2,13.1,7.2,12.0,8.2,10.2,10.2,9.1,9.1,9.2,10.1,9.2,8.3,9.3,9.2,14.1,8.3,9.2,9.2,8.2
